Channel Name,Emp Id,Mode of Sales,Line of Business,KPI Metric,KPI Metric Value,Transaction Date 
Distribution,257,Indirect,KEY_ACCOUNT,LINES,8264,31-Jul-09
Distribution,254,Indirect,KEY_ACCOUNT,LINES,4217,31-Jul-09
Distribution,256,Indirect,KEY_ACCOUNT,SCRATCH_CARD,10433,31-Jul-09
Distribution,253,Indirect,KEY_ACCOUNT,NON_EX_POS,100,31-Dec-09
Distribution,259,Indirect,KEY_ACCOUNT,NON_EX_POS,300,31-Dec-09
Distribution,260,Indirect,KEY_ACCOUNT,NON_INITIALIZED,5017,31-Jul-09
Distribution,261,Indirect,KEY_ACCOUNT,LINES,3380,31-Jul-09
Distribution,252,Indirect,KEY_ACCOUNT,LINES,12554,31-Jul-09
Distribution,256,Indirect,KEY_ACCOUNT,LINES,10433,31-Jul-09
Distribution,252,Indirect,KEY_ACCOUNT,SCRATCH_CARD,12554,31-Jul-09
Distribution,254,Indirect,KEY_ACCOUNT,ERECHARGE,4217,31-Jul-09
Distribution,257,Indirect,KEY_ACCOUNT,ERECHARGE,8264,31-Jul-09
Distribution,252,Indirect,KEY_ACCOUNT,NON_INITIALIZED,12554,31-Jul-09
Distribution,255,Indirect,KEY_ACCOUNT,LINES,5040,31-Jul-09
Distribution,253,Indirect,KEY_ACCOUNT,SCRATCH_CARD,5355,31-Jul-09
Distribution,258,Indirect,KEY_ACCOUNT,ERECHARGE,3638,31-Jul-09
Distribution,252,Indirect,KEY_ACCOUNT,ERECHARGE,12554,31-Jul-09
Distribution,L2365,Indirect,KEY_ACCOUNT,NON_EX_POS,200,31-Dec-09
Distribution,258,Indirect,KEY_ACCOUNT,LINES,3638,31-Jul-09
Distribution,254,Indirect,KEY_ACCOUNT,SCRATCH_CARD,4217,31-Jul-09
Distribution,257,Indirect,KEY_ACCOUNT,SCRATCH_CARD,8264,31-Jul-09
Distribution,261,Indirect,KEY_ACCOUNT,ERECHARGE,3380,31-Jul-09
Distribution,L2361,Indirect,KEY_ACCOUNT,ERECHARGE,10631,31-Jul-09
Distribution,255,Indirect,KEY_ACCOUNT,ERECHARGE,5040,31-Jul-09
Distribution,255,Indirect,KEY_ACCOUNT,NON_EX_POS,300,31-Dec-09
Distribution,252,Indirect,KEY_ACCOUNT,NON_EX_POS,300,31-Dec-09
Distribution,261,Indirect,KEY_ACCOUNT,NON_EX_POS,100,31-Dec-09
Distribution,259,Indirect,KEY_ACCOUNT,NON_INITIALIZED,2909,31-Jul-09
Distribution,L2361,Indirect,KEY_ACCOUNT,LINES,10631,31-Jul-09
Distribution,259,Indirect,KEY_ACCOUNT,LINES,2909,31-Jul-09
Distribution,261,Indirect,KEY_ACCOUNT,SCRATCH_CARD,3380,31-Jul-09
Distribution,259,Indirect,KEY_ACCOUNT,SCRATCH_CARD,2909,31-Jul-09
Distribution,255,Indirect,KEY_ACCOUNT,SCRATCH_CARD,5040,31-Jul-09
Distribution,259,Indirect,KEY_ACCOUNT,ERECHARGE,2909,31-Jul-09
Distribution,256,Indirect,KEY_ACCOUNT,ERECHARGE,10433,31-Jul-09
Distribution,253,Indirect,KEY_ACCOUNT,ERECHARGE,5355,31-Jul-09
Distribution,258,Indirect,KEY_ACCOUNT,EX_POS,800,31-Dec-09
Distribution,252,Indirect,KEY_ACCOUNT,EX_POS,500,31-Dec-09
Distribution,256,Indirect,KEY_ACCOUNT,EX_POS,500,31-Dec-09
Distribution,257,Indirect,KEY_ACCOUNT,NON_EX_POS,100,31-Dec-09
Distribution,253,Indirect,KEY_ACCOUNT,NON_INITIALIZED,5355,31-Jul-09
Distribution,L2365,Indirect,KEY_ACCOUNT,LINES,4555,31-Jul-09
Distribution,258,Indirect,KEY_ACCOUNT,SCRATCH_CARD,3638,31-Jul-09
Distribution,L2365,Indirect,KEY_ACCOUNT,ERECHARGE,4555,31-Jul-09
Distribution,253,Indirect,KEY_ACCOUNT,EX_POS,500,31-Dec-09
Distribution,254,Indirect,KEY_ACCOUNT,EX_POS,600,31-Dec-09
Distribution,257,Indirect,KEY_ACCOUNT,EX_POS,900,31-Dec-09
Distribution,256,Indirect,KEY_ACCOUNT,NON_EX_POS,200,31-Dec-09
Distribution,261,Indirect,KEY_ACCOUNT,NON_INITIALIZED,3380,31-Jul-09
Distribution,254,Indirect,KEY_ACCOUNT,NON_INITIALIZED,4217,31-Jul-09
Distribution,260,Indirect,KEY_ACCOUNT,LINES,5017,31-Jul-09
Distribution,L2361,Indirect,KEY_ACCOUNT,SCRATCH_CARD,10631,31-Jul-09
Distribution,L2365,Indirect,KEY_ACCOUNT,SCRATCH_CARD,4555,31-Jul-09
Distribution,260,Indirect,KEY_ACCOUNT,SCRATCH_CARD,5017,31-Jul-09
Distribution,L2361,Indirect,KEY_ACCOUNT,EX_POS,900,31-Dec-09
Distribution,261,Indirect,KEY_ACCOUNT,EX_POS,600,31-Dec-09
Distribution,259,Indirect,KEY_ACCOUNT,EX_POS,800,31-Dec-09
Distribution,254,Indirect,KEY_ACCOUNT,NON_EX_POS,200,31-Dec-09
Distribution,258,Indirect,KEY_ACCOUNT,NON_EX_POS,100,31-Dec-09
Distribution,258,Indirect,KEY_ACCOUNT,NON_INITIALIZED,3638,31-Jul-09
Distribution,256,Indirect,KEY_ACCOUNT,NON_INITIALIZED,10433,31-Jul-09
Distribution,255,Indirect,KEY_ACCOUNT,NON_INITIALIZED,5040,31-Jul-09
Distribution,253,Indirect,KEY_ACCOUNT,LINES,5355,31-Jul-09
Distribution,260,Indirect,KEY_ACCOUNT,ERECHARGE,5017,31-Jul-09
Distribution,255,Indirect,KEY_ACCOUNT,EX_POS,700,31-Dec-09
Distribution,L2365,Indirect,KEY_ACCOUNT,EX_POS,700,31-Dec-09
Distribution,L2361,Indirect,KEY_ACCOUNT,NON_EX_POS,200,31-Dec-09
Distribution,257,Indirect,KEY_ACCOUNT,NON_INITIALIZED,8264,31-Jul-09
Distribution,L2365,Indirect,KEY_ACCOUNT,NON_INITIALIZED,4555,31-Jul-09
Distribution,L2361,Indirect,KEY_ACCOUNT,NON_INITIALIZED,10631,31-Jul-09
