Emp Id,Channel Name,Mode of Sales,Line of Business,KPI Metric,KPI Metric Value,Transaction Date 
252,Distributors,INDIRECT,POS,NOT_INITIALIZED,5464,30-09-09
252,Distributors,INDIRECT,POS,LINES,2732,30-09-09
252,Distributors,INDIRECT,POS,SCRATCH_CARD,2732,30-09-09
252,Distributors,INDIRECT,POS,SCRATCH_CARD,12554,31-10-09
252,Distributors,INDIRECT,POS,LINES,12554,31-10-09
252,Distributors,INDIRECT,POS,NOT_INITIALIZED,25108,31-10-09
252,Distributors,INDIRECT,POS,SCRATCH_CARD,7139,30-11-09
252,Distributors,INDIRECT,POS,NOT_INITIALIZED,14278,30-11-09
252,Distributors,INDIRECT,POS,LINES,7139,30-11-09
253,Distributors,INDIRECT,POS,NOT_INITIALIZED,4636,30-09-09
253,Distributors,INDIRECT,POS,SCRATCH_CARD,2318,30-09-09
253,Distributors,INDIRECT,POS,LINES,2318,30-09-09
253,Distributors,INDIRECT,POS,NOT_INITIALIZED,10710,31-10-09
253,Distributors,INDIRECT,POS,LINES,5355,31-10-09
253,Distributors,INDIRECT,POS,SCRATCH_CARD,5355,31-10-09
253,Distributors,INDIRECT,POS,SCRATCH_CARD,5391,30-11-09
253,Distributors,INDIRECT,POS,LINES,5391,30-11-09
253,Distributors,INDIRECT,POS,NOT_INITIALIZED,10782,30-11-09
254,Distributors,INDIRECT,POS,SCRATCH_CARD,2379,30-09-09
254,Distributors,INDIRECT,POS,LINES,2379,30-09-09
254,Distributors,INDIRECT,POS,NOT_INITIALIZED,4758,30-09-09
254,Distributors,INDIRECT,POS,LINES,4217,31-10-09
254,Distributors,INDIRECT,POS,SCRATCH_CARD,4217,31-10-09
254,Distributors,INDIRECT,POS,NOT_INITIALIZED,8434,31-10-09
254,Distributors,INDIRECT,POS,LINES,4956,30-11-09
254,Distributors,INDIRECT,POS,SCRATCH_CARD,4956,30-11-09
254,Distributors,INDIRECT,POS,NOT_INITIALIZED,9912,30-11-09
255,Distributors,INDIRECT,POS,SCRATCH_CARD,2811,30-09-09
255,Distributors,INDIRECT,POS,NOT_INITIALIZED,5622,30-09-09
255,Distributors,INDIRECT,POS,LINES,2811,30-09-09
255,Distributors,INDIRECT,POS,SCRATCH_CARD,5040,31-10-09
255,Distributors,INDIRECT,POS,NOT_INITIALIZED,10080,31-10-09
255,Distributors,INDIRECT,POS,LINES,5040,31-10-09
255,Distributors,INDIRECT,POS,NOT_INITIALIZED,12096,30-11-09
255,Distributors,INDIRECT,POS,LINES,6048,30-11-09
255,Distributors,INDIRECT,POS,SCRATCH_CARD,6048,30-11-09
256,Distributors,INDIRECT,POS,NOT_INITIALIZED,5740,30-09-09
256,Distributors,INDIRECT,POS,SCRATCH_CARD,2870,30-09-09
256,Distributors,INDIRECT,POS,LINES,2870,30-09-09
256,Distributors,INDIRECT,POS,NOT_INITIALIZED,20866,31-10-09
256,Distributors,INDIRECT,POS,SCRATCH_CARD,10433,31-10-09
256,Distributors,INDIRECT,POS,LINES,10433,31-10-09
256,Distributors,INDIRECT,POS,NOT_INITIALIZED,19062,30-11-09
256,Distributors,INDIRECT,POS,SCRATCH_CARD,9531,30-11-09
256,Distributors,INDIRECT,POS,LINES,9531,30-11-09
257,Distributors,INDIRECT,POS,SCRATCH_CARD,2646,30-09-09
257,Distributors,INDIRECT,POS,NOT_INITIALIZED,5292,30-09-09
257,Distributors,INDIRECT,POS,LINES,2646,30-09-09
257,Distributors,INDIRECT,POS,SCRATCH_CARD,8264,31-10-09
257,Distributors,INDIRECT,POS,NOT_INITIALIZED,16528,31-10-09
257,Distributors,INDIRECT,POS,LINES,8264,31-10-09
257,Distributors,INDIRECT,POS,LINES,11120,30-11-09
257,Distributors,INDIRECT,POS,SCRATCH_CARD,11120,30-11-09
257,Distributors,INDIRECT,POS,NOT_INITIALIZED,22240,30-11-09
258,Distributors,INDIRECT,POS,NOT_INITIALIZED,2756,30-09-09
258,Distributors,INDIRECT,POS,LINES,1378,30-09-09
258,Distributors,INDIRECT,POS,SCRATCH_CARD,1378,30-09-09
258,Distributors,INDIRECT,POS,SCRATCH_CARD,3638,31-10-09
