Emp Id,Channel Name,Mode of Sales,Line of Business,KPI Metric,KPI Metric Value,Transaction Date 
257,Distribution,Indirect,Super-Dealer,LINES,8264,31-Jul-09
L2365,Distribution,Indirect,Super-Dealer,ERECHARGE,4555,31-Jul-09
258,Distribution,Indirect,Super-Dealer,ERECHARGE,3638,31-Jul-09
252,Distribution,Indirect,Super-Dealer,ERECHARGE,12554,31-Jul-09
259,Distribution,Indirect,Super-Dealer,EX_POS,800,31-Dec-09
255,Distribution,Indirect,Super-Dealer,NON_EX_POS,300,31-Dec-09
261,Distribution,Indirect,Super-Dealer,NON_EX_POS,100,31-Dec-09
L2365,Distribution,Indirect,Super-Dealer,NON_EX_POS,200,31-Dec-09
L2365,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,4555,31-Jul-09
260,Distribution,Indirect,Super-Dealer,LINES,5017,31-Jul-09
259,Distribution,Indirect,Super-Dealer,LINES,2909,31-Jul-09
253,Distribution,Indirect,Super-Dealer,LINES,5355,31-Jul-09
259,Distribution,Indirect,Super-Dealer,ERECHARGE,2909,31-Jul-09
255,Distribution,Indirect,Super-Dealer,EX_POS,700,31-Dec-09
L2361,Distribution,Indirect,Super-Dealer,NON_EX_POS,200,31-Dec-09
257,Distribution,Indirect,Super-Dealer,NON_EX_POS,100,31-Dec-09
256,Distribution,Indirect,Super-Dealer,LINES,10433,31-Jul-09
255,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,5040,31-Jul-09
257,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,8264,31-Jul-09
258,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,3638,31-Jul-09
261,Distribution,Indirect,Super-Dealer,ERECHARGE,3380,31-Jul-09
252,Distribution,Indirect,Super-Dealer,EX_POS,500,31-Dec-09
254,Distribution,Indirect,Super-Dealer,NON_EX_POS,200,31-Dec-09
L2361,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,10631,31-Jul-09
252,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,12554,31-Jul-09
