Channel Name,Emp Id,Mode of Sales,Line of Business,KPI Metric,KPI Metric Value,Transaction Date 
Distribution,235.0,INDIRECT,SUPER_DEALER,ERECHARGE,2643.6,30-Jun-09
Distribution,235.0,INDIRECT,SUPER_DEALER,ERECHARGE,7117.5,31-Aug-09
Distribution,235.0,INDIRECT,SUPER_DEALER,ERECHARGE,7243.575,31-Jul-09
Distribution,235.0,INDIRECT,SUPER_DEALER,SCRATCH_CARD,2643.6,30-Jun-09
Distribution,235.0,INDIRECT,SUPER_DEALER,SCRATCH_CARD,7117.5,31-Aug-09
Distribution,235.0,INDIRECT,SUPER_DEALER,SCRATCH_CARD,7243.575,31-Jul-09
Distribution,252,INDIRECT,SUPER_DEALER,EX_POS,500,31-Dec-09
Distribution,252,INDIRECT,SUPER_DEALER,NON_EX_POS,300,31-Dec-09
Distribution,253,INDIRECT,SUPER_DEALER,EX_POS,500,31-Dec-09
Distribution,253,INDIRECT,SUPER_DEALER,NON_EX_POS,100,31-Dec-09
Distribution,254,INDIRECT,SUPER_DEALER,EX_POS,600,31-Dec-09
Distribution,254,INDIRECT,SUPER_DEALER,NON_EX_POS,200,31-Dec-09
Distribution,255,INDIRECT,SUPER_DEALER,EX_POS,700,31-Dec-09
Distribution,255,INDIRECT,SUPER_DEALER,NON_EX_POS,300,31-Dec-09
Distribution,256,INDIRECT,SUPER_DEALER,EX_POS,500,31-Dec-09
Distribution,256,INDIRECT,SUPER_DEALER,NON_EX_POS,200,31-Dec-09
Distribution,257,INDIRECT,SUPER_DEALER,EX_POS,900,31-Dec-09
Distribution,257,INDIRECT,SUPER_DEALER,NON_EX_POS,100,31-Dec-09
Distribution,258,INDIRECT,SUPER_DEALER,EX_POS,800,31-Dec-09
Distribution,258,INDIRECT,SUPER_DEALER,NON_EX_POS,100,31-Dec-09
Distribution,259,INDIRECT,SUPER_DEALER,EX_POS,800,31-Dec-09
Distribution,259,INDIRECT,SUPER_DEALER,NON_EX_POS,300,31-Dec-09
Distribution,261,INDIRECT,SUPER_DEALER,EX_POS,600,31-Dec-09
Distribution,261,INDIRECT,SUPER_DEALER,NON_EX_POS,100,31-Dec-09
Distribution,L2361,INDIRECT,SUPER_DEALER,ERECHARGE,4406,30-Jun-09
Distribution,L2361,INDIRECT,SUPER_DEALER,ERECHARGE,11862.5,31-Aug-09
Distribution,L2361,INDIRECT,SUPER_DEALER,ERECHARGE,12072.625,31-Jul-09
Distribution,L2361,INDIRECT,SUPER_DEALER,EX_POS,900,31-Dec-09
Distribution,L2361,INDIRECT,SUPER_DEALER,NON_EX_POS,200,31-Dec-09
Distribution,L2361,INDIRECT,SUPER_DEALER,SCRATCH_CARD,4406,30-Jun-09
Distribution,L2361,INDIRECT,SUPER_DEALER,SCRATCH_CARD,11862.5,31-Aug-09
Distribution,L2361,INDIRECT,SUPER_DEALER,SCRATCH_CARD,12072.625,31-Jul-09
Distribution,L2365,INDIRECT,SUPER_DEALER,ERECHARGE,881.2,30-Jun-09
Distribution,L2365,INDIRECT,SUPER_DEALER,ERECHARGE,2372.5,31-Aug-09
Distribution,L2365,INDIRECT,SUPER_DEALER,ERECHARGE,2414.525,31-Jul-09
Distribution,L2365,INDIRECT,SUPER_DEALER,EX_POS,700,31-Dec-09
Distribution,L2365,INDIRECT,SUPER_DEALER,NON_EX_POS,200,31-Dec-09
Distribution,L2365,INDIRECT,SUPER_DEALER,SCRATCH_CARD,881.2,30-Jun-09
Distribution,L2365,INDIRECT,SUPER_DEALER,SCRATCH_CARD,2372.5,31-Aug-09
Distribution,L2365,INDIRECT,SUPER_DEALER,SCRATCH_CARD,2414.525,31-Jul-09
